date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2009-08-18 00:00:00+00:00,445.28,447.7,442.32,445.1,4697400,223.3293964522,224.543143172,221.8448136874,223.2391177705,9365799,0.0,1.0
2009-08-19 00:00:00+00:00,443.97,445.0,438.5605,439.99,4505400,222.6723682691,223.1889629474,219.9592431117,220.6762063084,8982984,0.0,1.0
2009-08-20 00:00:00+00:00,460.41,462.18,451.23,452.0,7989800,230.9178211924,231.8055615619,226.3136084287,226.6998005668,15930272,0.0,1.0
2009-08-21 00:00:00+00:00,465.24,466.09,462.65,465.54,7113800,233.3402991498,233.7666151464,232.0412892306,233.4907636192,14183680,0.0,1.0
2009-08-24 00:00:00+00:00,468.73,470.09,464.425,467.35,4901800,235.0907024771,235.7728080718,232.9315373412,234.3985659179,9773337,0.0,1.0
2009-08-25 00:00:00+00:00,471.37,474.35,468.72,469.13,4677300,236.4147898079,237.9094035373,235.0856869948,235.2913217697,9325723,0.0,1.0
2009-08-26 00:00:00+00:00,468.0,473.0,466.7,472.76,3971600,234.7245722683,237.232313425,234.0725595675,237.1119418495,7918680,0.0,1.0
2009-08-27 00:00:00+00:00,466.06,468.58,460.73,468.58,3993800,233.7515686995,235.0154702424,231.0783166264,235.0154702424,7962943,0.0,1.0
2009-08-28 00:00:00+00:00,464.75,472.37,463.38,469.26,3539600,233.0945405164,236.9163380392,232.4074194395,235.3565230398,7057347,0.0,1.0
2009-08-31 00:00:00+00:00,461.67,461.86,458.0,459.79,3911800,231.5497719639,231.6450661278,229.7090899548,230.6068612889,7799449,0.0,1.0
2009-09-01 00:00:00+00:00,455.761,466.82,454.42,459.68,5184600,228.5861234649,234.1327453553,227.9135472866,230.5516909835,10337191,0.0,1.0
2009-09-02 00:00:00+00:00,453.01,458.33,452.59,455.82,3605900,227.2063642804,229.8746008712,226.9957140233,228.6157148105,7189537,0.0,1.0
2009-09-03 00:00:00+00:00,457.52,458.25,455.0,455.82,3289100,229.4683468038,229.8344770127,228.2044452608,228.6157148105,6557893,0.0,1.0
2009-09-04 00:00:00+00:00,461.3,462.6,455.78,457.57,2995400,231.3641991183,232.016211819,228.5956528813,229.4934242154,5972306,0.0,1.0
2009-09-08 00:00:00+00:00,458.62,466.99,455.84,464.29,5308000,230.0200498583,234.2180085546,228.6257457751,232.86382833,10583229,0.0,1.0
2009-09-09 00:00:00+00:00,463.97,466.27,458.8,459.06,4386400,232.703332896,233.856893828,230.1103285399,230.2407310801,8745719,0.0,1.0
2009-09-10 00:00:00+00:00,470.94,470.94,462.0,466.65,5064100,236.1991240684,236.1991240684,231.7152828802,234.047482156,10096935,0.0,1.0
2009-09-11 00:00:00+00:00,472.14,473.3,467.63,470.4,3801900,236.800981946,237.3827778944,234.5389994227,235.9282880235,7580327,0.0,1.0
2009-09-14 00:00:00+00:00,475.12,476.8,470.05,470.51,3947400,238.2955956754,239.1381967041,235.7527461425,235.9834583289,7870429,0.0,1.0
2009-09-15 00:00:00+00:00,477.54,478.91,472.71,475.08,4791400,239.5093423953,240.1964634722,237.0868644379,238.2755337462,9553218,0.0,1.0
2009-09-16 00:00:00+00:00,488.29,489.37,478.48,479.8,5165400,244.9009858822,245.4426579721,239.9807977327,240.6428413981,10298909,0.0,1.0
2009-09-17 00:00:00+00:00,491.72,497.37,487.15,490.57,8957200,246.6212963157,249.4550438228,244.3292208985,246.0445158497,17859099,0.0,1.0
2009-09-18 00:00:00+00:00,491.46,496.98,491.23,496.77,6560400,246.4908937756,249.2594400126,246.3755376824,249.154114884,13080297,0.0,1.0
2009-09-21 00:00:00+00:00,497.0,498.9,486.22,487.74,4228500,249.2694709772,250.2224126167,243.8627810433,244.625134355,8430894,0.0,1.0
2009-09-22 00:00:00+00:00,499.06,501.99,497.81,500.92,6076300,250.3026603338,251.7721966516,249.6757250446,251.2355400441,12115086,0.0,1.0
2009-09-23 00:00:00+00:00,498.46,507.0,497.71,500.78,5402900,250.001731395,254.2849532906,249.6255702215,251.1653232917,10772443,0.0,1.0
2009-09-24 00:00:00+00:00,496.77,501.41,493.0,500.47,5050100,249.154114884,251.4812986774,247.2632780518,251.00984334,10069021,0.0,1.0
2009-09-25 00:00:00+00:00,492.48,499.93,492.0,494.29,4095100,247.0024729715,250.739007295,246.7617298205,247.9102752703,8164917,0.0,1.0
2009-09-28 00:00:00+00:00,498.53,501.5,493.295,494.84,3674900,250.0368397712,251.5264380182,247.4112347801,248.1861267975,7327111,0.0,1.0
2009-09-29 00:00:00+00:00,498.53,499.75,493.01,499.53,4194200,250.0368397712,250.6487286134,247.2682935341,250.5383880025,8362505,0.0,1.0
