date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2009-07-24 00:00:00+00:00,61.51,61.62,60.22,60.26,11413300,45.4578270095,45.5391204735,44.5044763861,44.5340376458,11413300,0.0,1.0
2009-07-27 00:00:00+00:00,61.27,61.69,60.62,61.49,7937700,45.2804594516,45.5908526778,44.8000889825,45.4430463796,7937700,0.0,1.0
2009-07-28 00:00:00+00:00,60.92,61.57,60.6,61.03,9025500,45.0217984298,45.5021688989,44.7853083527,45.1030918938,9025500,0.0,1.0
2009-07-29 00:00:00+00:00,61.16,61.44,60.69,60.74,10522700,45.1991659876,45.4060948051,44.8518211869,44.8887727614,10522700,0.0,1.0
2009-07-30 00:00:00+00:00,61.79,62.47,61.52,61.66,12636500,45.6647558269,46.1672972408,45.4652173244,45.5686817331,12636500,0.0,1.0
2009-07-31 00:00:00+00:00,60.89,62.17,60.78,61.83,13230900,44.9996274851,45.9455877935,44.9183340211,45.6943170866,13230900,0.0,1.0
2009-08-03 00:00:00+00:00,61.1,61.19,60.43,61.16,11178800,45.1548240982,45.2213369324,44.6596729992,45.1991659876,11178800,0.0,1.0
2009-08-04 00:00:00+00:00,61.06,61.15,60.67,61.15,8906600,45.1252628385,45.1917756727,44.8370405571,45.1917756727,8906600,0.0,1.0
2009-08-05 00:00:00+00:00,60.45,61.23,60.29,61.19,8575200,44.674453629,45.250898192,44.5562085905,45.2213369324,8575200,0.0,1.0
2009-08-06 00:00:00+00:00,59.93,60.67,59.7,60.67,10835400,44.2901572537,44.8370405571,44.1201800108,44.8370405571,10835400,0.0,1.0
2009-08-07 00:00:00+00:00,59.9,60.43,59.85,59.96,9974900,44.267986309,44.6596729992,44.2310347345,44.3123281985,9974900,0.0,1.0
2009-08-10 00:00:00+00:00,60.72,60.72,59.55,60.08,9519100,44.8739921316,44.8739921316,44.0093252872,44.4010119774,9519100,0.0,1.0
2009-08-11 00:00:00+00:00,60.22,60.92,60.15,60.68,8302200,44.5044763861,45.0217984298,44.4527441817,44.844430872,8302200,0.0,1.0
2009-08-12 00:00:00+00:00,60.59,61.05,60.03,60.26,8219600,44.7779180378,45.1178725236,44.3640604028,44.5340376458,8219600,0.0,1.0
2009-08-13 00:00:00+00:00,60.32,60.69,60.05,60.69,8338200,44.5783795352,44.8518211869,44.3788410327,44.8518211869,8338200,0.0,1.0
2009-08-14 00:00:00+00:00,60.08,60.7,59.64,60.42,8961000,44.4010119774,44.8592115018,44.0758381214,44.6522826843,8961000,0.0,1.0
2009-08-17 00:00:00+00:00,59.82,60.2,59.59,59.6,12926100,44.2088637897,44.4896957563,44.0388865468,44.0462768617,12926100,0.0,1.0
2009-08-18 00:00:00+00:00,59.8,59.95,59.5,59.95,8803000,44.1940831599,44.3049378836,43.9723737126,44.3049378836,8803000,0.0,1.0
2009-08-19 00:00:00+00:00,60.37,60.49,59.68,59.77,10498900,44.6153311098,44.7040148887,44.105399381,44.1719122152,10498900,0.0,1.0
2009-08-20 00:00:00+00:00,60.46,61.19,60.178,60.55,9955000,44.6818439439,45.2213369324,44.4734370635,44.7483567781,9955000,0.0,1.0
2009-08-21 00:00:00+00:00,61.03,61.42,60.61,61.09,12594000,45.4652173244,45.7557536959,45.1523320012,45.5099152277,12594000,0.49,1.0
2009-08-24 00:00:00+00:00,61.28,61.28,60.69,61.18,10500700,45.6514585882,45.6514585882,45.2119292056,45.5769620827,10500700,0.0,1.0
2009-08-25 00:00:00+00:00,61.14,61.49,60.85,61.02,10808100,45.5471634805,45.8079012498,45.3311236144,45.4577676738,10808100,0.0,1.0
2009-08-26 00:00:00+00:00,60.63,61.35,60.51,61.26,10865500,45.1672313023,45.7036061421,45.0778354956,45.6365592871,10865500,0.0,1.0
2009-08-27 00:00:00+00:00,60.49,60.73,59.95,60.57,11027900,45.0629361945,45.2417278078,44.6606550647,45.1225333989,11027900,0.0,1.0
2009-08-28 00:00:00+00:00,60.29,60.75,60.06,60.75,10897800,44.9139431835,45.2566271089,44.7426012207,45.2566271089,10897800,0.0,1.0
2009-08-31 00:00:00+00:00,60.44,60.59,59.96,60.04,10181300,45.0256879418,45.1374327,44.6681047152,44.7277019196,10181300,0.0,1.0
2009-09-01 00:00:00+00:00,59.94,60.75,59.62,60.35,11890800,44.6532054141,45.2566271089,44.4148165964,44.9586410868,11890800,0.0,1.0
2009-09-02 00:00:00+00:00,59.76,60.02,59.47,59.67,8587000,44.5191117042,44.7128026185,44.3030718381,44.4520648492,8587000,0.0,1.0
2009-09-03 00:00:00+00:00,59.69,59.84,59.28,59.84,8722700,44.4669641503,44.5787089086,44.1615284776,44.5787089086,8722700,0.0,1.0
2009-09-04 00:00:00+00:00,60.32,60.35,59.63,59.72,7425300,44.9362921351,44.9586410868,44.422266247,44.4893131019,7425300,0.0,1.0
2009-09-08 00:00:00+00:00,60.57,60.77,59.99,60.77,8792600,45.1225333989,45.27152641,44.6904536669,45.27152641,8792600,0.0,1.0
2009-09-09 00:00:00+00:00,60.92,61.13,60.66,60.78,9303100,45.3832711683,45.5397138299,45.1895802539,45.2789760606,9303100,0.0,1.0
